Census_Subdivision,Age_Group,Year,Count
North Vancouver,0 to 14,2021,7315
North Vancouver,15 to 24,2021,5535
North Vancouver,25 to 34,2021,9595
North Vancouver,35 to 44,2021,9240
North Vancouver,45 to 54,2021,8200
North Vancouver,55 to 64,2021,8045
North Vancouver,65+,2021,21695
Pitt Meadows,0 to 14,2021,3270
Pitt Meadows,15 to 24,2021,1875
Pitt Meadows,25 to 34,2021,2210
Pitt Meadows,35 to 44,2021,2695
Pitt Meadows,45 to 54,2021,2615
Pitt Meadows,55 to 64,2021,2990
Pitt Meadows,65+,2021,7325
Port Coquitlam,0 to 14,2021,9625
Port Coquitlam,15 to 24,2021,7020
Port Coquitlam,25 to 34,2021,8010
Port Coquitlam,35 to 44,2021,9055
Port Coquitlam,45 to 54,2021,8890
Port Coquitlam,55 to 64,2021,9245
Port Coquitlam,65+,2021,20425
Port Moody,0 to 14,2021,5520
Port Moody,15 to 24,2021,3800
Port Moody,25 to 34,2021,4055
Port Moody,35 to 44,2021,5035
Port Moody,45 to 54,2021,5455
Port Moody,55 to 64,2021,4835
Port Moody,65+,2021,10100
Richmond,0 to 14,2021,27935
Richmond,15 to 24,2021,23400
Richmond,25 to 34,2021,30575
Richmond,35 to 44,2021,26770
Richmond,45 to 54,2021,28015
Richmond,55 to 64,2021,31335
Richmond,65+,2021,88865
Surrey,0 to 14,2021,94060
Surrey,15 to 24,2021,80260
Surrey,25 to 34,2021,82135
Surrey,35 to 44,2021,80390
Surrey,45 to 54,2021,74700
Surrey,55 to 64,2021,69590
Surrey,65+,2021,184285
Vancouver,0 to 14,2021,70570
Vancouver,15 to 24,2021,69605
Vancouver,25 to 34,2021,136380
Vancouver,35 to 44,2021,102405
Vancouver,45 to 54,2021,86885
Vancouver,55 to 64,2021,83680
Vancouver,65+,2021,241140
West Vancouver,0 to 14,2021,6160
West Vancouver,15 to 24,2021,5245
West Vancouver,25 to 34,2021,2825
West Vancouver,35 to 44,2021,4340
West Vancouver,45 to 54,2021,6490
West Vancouver,55 to 64,2021,6500
West Vancouver,65+,2021,27555
White Rock,0 to 14,2021,1980
White Rock,15 to 24,2021,1625
White Rock,25 to 34,2021,1715
White Rock,35 to 44,2021,1945
White Rock,45 to 54,2021,2675
White Rock,55 to 64,2021,3810
White Rock,65+,2021,17800
Tsawwassen Lands ,0 to 14,2021,330
Tsawwassen Lands ,15 to 24,2021,200
Tsawwassen Lands ,25 to 34,2021,340
Tsawwassen Lands ,35 to 44,2021,320
Tsawwassen Lands ,45 to 54,2021,300
Tsawwassen Lands ,55 to 64,2021,350
Tsawwassen Lands ,65+,2021,835
